Country_Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,3304.83782,3495.141628,3949.461643,4770.714415,6482.831082,7003.842471,7486.684973,7775.577645,8252.652035,9294.359247,10208.57617,11853.43602,12778.85525,11515.49595,12421.36137,11441.04902,11391.43671,11650.84187,14284.4292,17834.44785,18249.53394,18860.2732,18624.59089,17700.11556,18129.79072,20446.71985,22020.0798,23645.05749,21478.38516,20698.7127,21853.44999,19681.64503,20290.78042,23705.90722,30819.99349,34460.543,36570.76307,41023.75486,49681.21907,42810.46584,52132.46961,62598.68662,68047.37818,68156.3861,62515.31483,56708.9612,49876.71238,53934.15437,57206.99067,54941.06572,51722.069
Brazil,439.2209162,494.8027499,577.4515372,806.3545127,1034.16443,1188.619532,1376.347928,1547.694206,1716.707728,1853.019691,1941.259538,2061.349954,2118.564108,1448.009731,1406.6898,1541.70889,1836.684978,1986.834138,2119.611081,2790.414204,3085.396216,2659.048558,2505.225033,2766.328477,3393.142926,4704.961546,5121.905407,5240.128796,5049.76612,3456.423595,3726.81142,3142.235528,2824.715396,3056.64968,3623.223905,4773.26848,5866.024313,7323.19034,8801.759475,8569.901805,11249.29374,13200.55817,12327.51556,12258.56485,12071.40465,8783.214413,8680.735421,9896.717511,9121.020092,8845.323931,6923.700197
Canada,4135.821498,4535.346032,5106.73708,5858.391831,7056.582022,7536.821932,8838.693384,8949.109893,9154.760931,10077.29194,11207.9452,12379.00464,12526.95904,13476.97383,13930.84446,14170.04824,14521.48254,16377.90535,19012.55925,20795.17253,21526.3477,21846.30025,20949.93327,20186.9885,19997.62374,20678.95044,21296.63442,21901.59404,21024.50993,22315.17429,24271.00206,23821.44559,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46547.79518,46374.15275,43349.67786
China,113.1625825,118.6541489,131.8855322,157.0891484,160.1476807,178.3395768,165.4042325,185.4204992,156.3963885,183.9831522,194.8047222,197.0714745,203.3349195,225.4319289,250.713969,294.4588485,281.9281209,251.811957,283.5376952,310.8819124,317.884673,333.1421454,366.4606923,377.3898395,473.4899347,609.6043623,709.4158882,781.7425926,828.5946577,873.297611,959.3604121,1053.112272,1148.514188,1288.637543,1508.667946,1753.414263,2099.219342,2693.958555,3468.327063,3832.227428,4550.473924,5614.385739,6300.582352,7020.385682,7636.074223,8016.446016,8094.390375,8817.045496,9905.406118,10143.86021,10408.71912
France,2870.15751,3180.33744,3865.9254,4984.196684,5345.896035,6717.439489,6899.069578,7566.662559,9299.747373,11213.02362,12738.52005,11116.86106,10501.60913,9998.975219,9430.069648,9778.085305,13566.66077,16340.72597,17727.51083,17747.5816,21865.55525,21675.70609,23814.22737,22380.3319,23496.36768,26889.42506,26870.28524,24226.88469,24971.57449,24678.39106,22416.42542,22449.33969,24288.27002,29627.92426,33797.16244,34768.1759,36470.21284,41557.62356,45515.96175,41737.76355,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39055.28293
Germany,2761.166833,3192.133616,3809.981445,5046.755103,5639.077621,6236.358881,6634.856899,7682.953775,9482.04285,11281.02332,12138.3081,10209.07312,9913.737642,9864.34494,9313.169412,9429.569217,13461.831,16677.51079,17931.28232,17764.37645,22303.96133,23357.75773,26438.23039,25522.62957,27076.60675,31658.34938,30485.86655,26964.04947,27289.05936,26734.94254,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,46772.82535
India,111.9683181,118.1605353,122.6124534,143.456125,163.2316156,157.929385,161.1372361,186.4190959,206.0737493,224.5754377,267.3905787,271.4261559,275.2660979,292.6446583,278.0954074,297.9992568,312.0598439,342.0719237,355.738418,347.4620369,368.7497594,303.850438,317.5587347,301.5007864,346.2273931,373.6282338,399.5773066,414.8986835,412.5093558,440.9614546,442.0347789,449.9111249,468.8444283,543.8437989,624.1050944,710.5093449,802.013742,1022.732476,993.5034125,1096.636136,1350.634457,1449.603301,1434.017978,1438.056995,1559.863772,1590.174322,1714.279541,1957.969814,1974.37773,2050.16379,1913.219721
Italy,2106.863959,2305.609751,2671.137314,3205.25204,3621.145822,4106.993868,4033.099354,4603.599701,5610.498099,6990.285807,8456.918974,7622.833328,7556.523437,7832.575387,7739.715284,7990.686566,11315.01518,14234.72864,15744.66126,16386.66221,20825.78422,21956.52977,23243.47453,18738.7639,19337.6309,20664.55227,23081.60468,21829.34582,22318.1373,22005.05454,20137.59122,20500.9544,22376.2979,27526.32246,31317.20079,32055.09208,33529.7266,37870.74751,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31918.69349
Japan,2056.122044,2272.077844,2967.041996,3974.746092,4353.824355,4674.445481,5197.622337,6335.286871,8820.693343,9103.564756,9463.352464,10360.1767,9575.608995,10421.2139,10978.91981,11576.69049,17113.25894,20748.99092,25059.01395,24822.77257,25371.46417,28915.01536,31414.97637,35681.96849,39933.51278,44197.62889,39150.05523,35638.243,32423.75545,36610.16671,39169.36018,34406.16902,32820.78863,35387.04836,38298.98017,37812.89102,35991.54239,35779.01568,39876.3063,41309.00165,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,39986.92863
Russian Federation,,,,,,,,,,,,,,,,,,,3777.235352,3428.762207,3492.710205,3490.452393,3098.802734,2930.670166,2662.104004,2665.779785,2643.929199,2737.572021,1834.861816,1330.757202,1771.594116,2100.352539,2377.529541,2975.123047,4102.364746,5323.455078,6920.199707,9101.239258,11635.28418,8562.824219,10674.99023,14311.06445,15420.8584,15974.62305,14095.64648,9313.021484,8704.894531,10720.33203,11287.35449,11536.25879,10194.44141
