Country_Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,2679.49,2828.03,3247.87,3942.54,5330.87,5785.31,6190.98,6364.68,6724.8,7419.53,8153.29,9679.8,10202.55,9340.03,10007.03,9080.79,9037.91,9243.3,11459.88,14162.46,14148.36,14656.26,14499.03,14000.6,14484.96,16059.93,17400.97,18712.41,17065.71,16449.47,17175.41,15553.12,16174.81,18961.21,24585.76,26825.37,28198.93,31285.89,37709.12,33354.11,40208.7,48255.55,53382.55,53834.81,48664.39,44267.58,39055.24,42000.89,43990.14,42364.65,40200.58
Brazil,393.73,448.47,520.1,678.47,874.52,996.84,1200.04,1357.37,1498.49,1629.54,1624.48,1777.86,1832.56,1280.9,1293.22,1333.43,1597.16,1736.94,1920.39,2189.12,2205.29,1926.41,1835.09,2012.46,2847.43,4151.93,4468.93,4539.85,4321.68,2913.06,3191.89,2682.52,2401.84,2602.52,3060.7,4027.92,4975.71,6241.25,7392.06,7381.94,9479.01,11156.21,10454.61,10581.81,10371.61,7619.19,7530.48,8547.18,7737.67,7565.58,5783.81
Canada,3429.76,3774.18,4278.77,4861.05,5705.51,6139.2,7226.17,7253.14,7399.26,7774.95,8551.9,9711.53,9902.75,10666.7,11041.61,11276.26,11732.74,13051.33,15146.41,16543.03,17063.33,17554.85,16660.55,16106.06,15945.83,16503.49,16881.34,17507.55,16802.57,17788.05,19237.61,18872.04,19447.42,22962.4,25919.75,29608.43,33192.73,36649.13,37861.19,32974.47,38794.1,42619.4,43099.95,43061.31,41719.05,35274.02,34330.33,36956.08,37633.86,37802.58,35052.95
China,103.52,108.59,120.16,143.01,141.61,154.73,140.97,157.64,132.38,147.86,151.37,153.71,162.4,186.37,210.97,250.87,245.56,217.6,247.98,269.12,271.44,289.71,321.6,328.21,411.33,520.48,604.2,666.33,696.21,732.96,800.58,877.19,969.91,1086.43,1250.16,1435.43,1712.86,2181.63,2718.53,3058.79,3511.19,4163.08,4799.85,5273.57,5799.9,6039.92,6145.89,6714.79,7378.39,7545.86,7572.28
France,2527.57,2800.34,3379.56,4348.71,4623.94,5785.36,5920.64,6474.5,7947.71,9591.61,10840.91,9411.18,8833.74,8361.02,7855.18,8198.09,11490.38,13885.99,15138.64,15057.54,18461.55,18226.93,20180.78,18936.47,19896.01,22867.14,22934.56,20793.91,21482.73,21380.43,19223.22,19322.04,20641.61,25187.1,28894.71,29652.7,31080.68,35436.15,38496.13,35067.83,34310.01,37179.18,34366.27,35806.98,36132.1,30878.47,31132.53,32620.98,34876.75,33928.71,31681.88
Germany,2398.91,2758.16,3286.2,4345.39,4822.15,5311.08,5657.7,6543.32,8120.77,9606.72,10269.22,8548.1,8264.08,8253.81,7830.44,7937.53,11295.91,13948.07,15125.18,15022.33,18935.55,19718.61,22227.82,21217.57,22465.03,26401.71,25472.03,22462.79,22659.13,22123.17,19480.13,19433.53,20549.08,24711.5,28456.27,28838.64,30738.69,35110.46,37988.06,34662.15,34787.45,39520.1,36932.72,38953.52,40289.47,34601.02,35591.57,37677.17,40746.22,39623.09,38425.67
India,103.64,109.25,113.34,132.59,149.92,142.73,145.29,167.34,185.55,201.67,242.77,243.75,243.91,260.52,246.69,261.94,276.98,301.74,313.1,304.74,322.01,263.3,275.68,262.71,303.74,327.61,351.52,364.39,365.16,388.87,385.66,393.65,410.65,477.26,544.92,617.46,695.9,885.65,845.9,949.81,1165.62,1250.35,1239.28,1238.46,1355.52,1391.46,1489.52,1714.15,1721.43,1812.82,1662.94
Italy,1881.03,2071.22,2403.46,2864.9,3179.95,3549.83,3500.32,3990.36,4889.11,6139.79,7331.37,6479.22,6400.91,6663.32,6576.6,6773.86,9604.07,12129.86,13448.53,13957.1,17670.98,18537.64,19521.29,15689.81,16115.26,17387.49,19516.25,18624.23,18889.73,18742.97,17057.94,17309.6,18880.52,23209.4,26389.82,27036.52,28379.06,31759.93,33714.22,30596.36,29600.11,31699.45,28474.09,28975.22,29028.51,24460,25501.6,26826.26,28817.68,28034.52,25986.35
Japan,1682.72,1859.23,2417.37,3259.87,3569.61,3866.74,4319.23,5275.4,7418.35,7598.77,7865.85,8522.11,7904.3,8575.83,8984.23,9555.45,14035.52,16984.53,20488.43,20219.89,20624.41,23260.61,25046.43,28255.37,30719.26,34303.93,30334.9,27487.69,24800.64,27926.78,30029.82,26400.55,25045.95,27175.94,29634.16,29304.5,27914.67,27824.69,30433.3,31115.59,34466.12,37400.45,37913.36,31910.79,30074.24,27545.81,30786.65,30559.69,31071.14,31688.44,31210.21
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,1778.74,1566.95,1335.3,1296.23,1570.51,1723.55,1173.26,954.14,1277.56,1560.63,1782.03,2211.24,3141.52,4066.82,5338.27,7240.73,9092.27,6672.62,8448.5,11289.28,12127.95,12500.11,10995.67,7423.22,6891.33,8397.44,8698.06,8726.66,8118.73
